staging_id,raw_id,inmobiliaria_id,inmobiliaria,validation_score,priority_estimada,geocoding_status,precio,moneda,latitud,longitud,ciudad,provincia,titulo,url_normalizada
81827,82317,4418,Juan I. Pagliaro Propiedades,95,1,done,132000,USD,-37.320431,-59.136722,Tandil,Buenos Aires,Casas en Venta - Garibaldi y Alem,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-garibaldi-y-alem-51330-161.html
81828,82318,4418,Juan I. Pagliaro Propiedades,100,1,done,140000,USD,-37.279841,-59.363036,Tandil,Buenos Aires,Casas en Venta - Calle 8 y Calle 13,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-calle-8-y-calle-13-46285-161.html
81829,82319,4418,Juan I. Pagliaro Propiedades,95,1,done,145000,USD,-37.317342,-59.109406,Tandil,Buenos Aires,Casas en Venta - Caseros y Piedrabuena,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-caseros-y-piedrabuena-51488-161.html
81830,82320,4418,Juan I. Pagliaro Propiedades,100,1,done,158000,USD,-37.352966,-59.130263,Tandil,Buenos Aires,Casas en Venta - Sinka al 1500,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-sinka-al-1500-51420-161.html
81831,82321,4418,Juan I. Pagliaro Propiedades,100,1,done,170000,USD,-37.295308,-59.175496,Tandil,Buenos Aires,Casas en Venta - Guise al 300,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-guise-al-300-49968-161.html
81832,82322,4418,Juan I. Pagliaro Propiedades,95,1,done,170000,USD,-37.339575,-59.16157,Tandil,Buenos Aires,Casas en Venta - Miguel Abuelo y Moro,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-miguel-abuelo-y-moro-46372-161.html
81833,82323,4418,Juan I. Pagliaro Propiedades,100,1,done,175000,USD,-37.332768,-59.129791,Tandil,Buenos Aires,Casas en Venta - Sandino al 100,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-sandino-al-100-48728-161.html
81834,82324,4418,Juan I. Pagliaro Propiedades,100,1,done,175000,USD,-37.321045,-59.160991,Tandil,Buenos Aires,Casas en Venta - Bariffi y 12 de Octubre,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-bariffi-y-12-de-octubre-46175-161.html
81835,82325,4418,Juan I. Pagliaro Propiedades,100,1,done,180000,USD,-37.32224,-59.156635,Tandil,Buenos Aires,Casas en Venta - Ezeiza al 1400,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-ezeiza-al-1400-51558-161.html
81836,82326,4418,Juan I. Pagliaro Propiedades,95,1,done,200000,USD,-37.339001,-59.120014,Tandil,Buenos Aires,Casas en Venta - Rubén Darío al 700,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-rubén-darío-al-700-45385-161.html
81837,82327,4418,Juan I. Pagliaro Propiedades,95,1,done,200000,USD,-37.327785,-59.128332,Tandil,Buenos Aires,Casas en Venta - Maipú al 1000,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-maipú-al-1000-50421-161.html
81838,82328,4418,Juan I. Pagliaro Propiedades,100,1,done,258000,USD,-37.321438,-59.120092,Tandil,Buenos Aires,Casas en Venta - Pinto al 1700,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-pinto-al-1700-50141-161.html
81839,82329,4418,Juan I. Pagliaro Propiedades,95,1,done,280000,USD,-37.323861,-59.141293,Tandil,Buenos Aires,Casas en Venta - Av. España y Chacabuco,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-av.-españa-y-chacabuco-50142-161.html
81840,82330,4418,Juan I. Pagliaro Propiedades,100,1,done,320000,USD,-37.329628,-59.121991,Tandil,Buenos Aires,Casas en Venta - Av. Avellaneda 1200,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-av.-avellaneda-1200-46141-161.html
81841,82331,4418,Juan I. Pagliaro Propiedades,100,1,done,320000,USD,-37.320653,-59.137087,Tandil,Buenos Aires,Casas en Venta - Garibaldi al 700,pagliaropropiedades.com.ar/casas-en-venta-en-tandil-garibaldi-al-700-48135-161.html
